Слово                    Абс. частота  Отн. частота, %
систем                             21           0.7988
человека                           21           0.7988
модели                             21           0.7988
могут                              20           0.7607
системы                            19           0.7227
моделей                            18           0.6847
быть                               17           0.6466
что                                16           0.6086
может                              16           0.6086
качестве                           16           0.6086
можно                              14           0.5325
знаний                             13           0.4945
модель                             13           0.4945
спбгэту                            12           0.4564
использование                      12           0.4564
людей                              12           0.4564
при                                12           0.4564
рис                                10           0.3804
обращения                           9           0.3423
частности                           9           0.3423
которые                             9           0.3423
также                               9           0.3423
элемента                            9           0.3423
однако                              9           0.3423
использовать                        9           0.3423
дата                                9           0.3423
управления                          8           0.3043
построении                          8           0.3043
компетенций                         8           0.3043
построения                          8           0.3043
компетенции                         8           0.3043
обучения                            8           0.3043
более                               8           0.3043
состоит                             8           0.3043
состояния                           8           0.3043
состояние                           8           0.3043
процессор                           7           0.2663
использования                       7           0.2663
графы                               7           0.2663
цифровых                            7           0.2663
подхода                             7           0.2663
процесса                            7           0.2663
этом                                7           0.2663
собой                               7           0.2663
элемент                             7           0.2663
между                               7           0.2663
структура                           6           0.2282
двойников                           6           0.2282
запросов                            6           0.2282
которая                             6           0.2282
компетентностные                    6           0.2282
компетенция                         6           0.2282
водяхо                              6           0.2282
образовательным                     6           0.2282
ананьева                            6           0.2282
способность                         6           0.2282
автомат                             6           0.2282
информатика                         6           0.2282
техника                             6           0.2282
вычислительная                      6           0.2282
управление                          6           0.2282
известия                            6           0.2282
один                                6           0.2282
информационных                      6           0.2282
построению                          6           0.2282
разные                              6           0.2282
которых                             6           0.2282
требования                          5           0.1902
сети                                5           0.1902
нейронные                           5           0.1902
образом                             5           0.1902
речь                                5           0.1902
образовательного                    5           0.1902
проблемы                            5           0.1902
двойника                            5           0.1902
уровня                              5           0.1902
системах                            5           0.1902
компетентностная                    5           0.1902
рамках                              5           0.1902
число                               5           0.1902
построение                          5           0.1902
применение                          5           0.1902
использовании                       5           0.1902
цехановский                         5           0.1902
подход                              5           0.1902
статье                              5           0.1902
советов                             5           0.1902
подготовки                          4           0.1521
ные                                 4           0.1521
позволяет                           4           0.1521
некоторой                           4           0.1521
задач                               4           0.1521
где                                 4           0.1521
человек                             4           0.1521
решения                             4           0.1521
определяется                        4           0.1521
возможно                            4           0.1521
случае                              4           0.1521
люди                                4           0.1521
