Слово                           Абс. частота  Отн. частота, %
что                                       91           0.8295
университет                               50           0.4558
языка                                     42           0.3829
метафора                                  41           0.3737
медиадискурсе                             33           0.3008
исследования                              33           0.3008
поэзии                                    32           0.2917
его                                       31           0.2826
дискурсе                                  31           0.2826
объединения                               29           0.2644
следовательно                             29           0.2644
россия                                    28           0.2552
между                                     28           0.2552
дискурса                                  27           0.2461
маркеры                                   27           0.2461
образа                                    27           0.2461
анализ                                    27           0.2461
через                                     26            0.237
является                                  24           0.2188
образ                                     24           0.2188
прагматика                                23           0.2097
при                                       22           0.2005
коммуникации                              21           0.1914
дискурсивные                              21           0.1914
наук                                      21           0.1914
прагматические                            20           0.1823
анализа                                   20           0.1823
роль                                      20           0.1823
прагматики                                20           0.1823
метафоры                                  20           0.1823
цель                                      19           0.1732
маркеров                                  19           0.1732
дискурсивных                              19           0.1732
метафор                                   19           0.1732
также                                     19           0.1732
функции                                   18           0.1641
университета                              18           0.1641
автор                                     18           0.1641
смысла                                    18           0.1641
лингвистики                               18           0.1641
речи                                      17            0.155
единиц                                    17            0.155
языкового                                 17            0.155
исследование                              17            0.155
модель                                    17            0.155
москва                                    16           0.1459
единицы                                   16           0.1459
прагматических                            16           0.1459
медиа                                     16           0.1459
взаимодействия                            16           0.1459
моделей                                   16           0.1459
дискурс                                   16           0.1459
модели                                    16           0.1459
язык                                      16           0.1459
исследований                              15           0.1367
стран                                     15           0.1367
ного                                      15           0.1367
мира                                      15           0.1367
научных                                   15           0.1367
более                                     14           0.1276
теории                                    14           0.1276
сведения                                  14           0.1276
текста                                    14           0.1276
новых                                     14           0.1276
помощью                                   14           0.1276
одной                                     14           0.1276
рамках                                    14           0.1276
современной                               13           0.1185
время                                     13           0.1185
результаты                                13           0.1185
текстов                                   13           0.1185
которых                                   13           0.1185
прагмасемантика                           13           0.1185
этих                                      13           0.1185
языков                                    13           0.1185
различных                                 13           0.1185
разделе                                   12           0.1094
процессов                                 12           0.1094
развития                                  12           0.1094
слова                                     12           0.1094
которой                                   12           0.1094
позволяет                                 12           0.1094
стороны                                   12           0.1094
доктор                                    12           0.1094
интерпретации                             12           0.1094
которые                                   12           0.1094
государственный                           12           0.1094
поэтического                              12           0.1094
изучения                                  12           0.1094
институт                                  12           0.1094
языкознания                               12           0.1094
высказывания                              12           0.1094
россии                                    12           0.1094
деятельности                              12           0.1094
пути                                      12           0.1094
образ-схем                                12           0.1094
связь                                     11           0.1003
цитирования                               11           0.1003
контексте                                 11           0.1003
языке                                     11           0.1003
связи                                     11           0.1003
народов                                   11           0.1003
механизма                                 11           0.1003
южноафриканском                           11           0.1003
она                                       11           0.1003
войны                                     11           0.1003
ключевые                                  11           0.1003
корпуса                                   11           0.1003
корпус                                    11           0.1003
условиях                                  11           0.1003
системы                                   11           0.1003
употребления                              11           0.1003
подход                                    11           0.1003
основе                                    11           0.1003
том                                       11           0.1003
однако                                    11           0.1003
говорящего                                10           0.0912
группы                                    10           0.0912
имени                                     10           0.0912
лингвистика                               10           0.0912
роли                                      10           0.0912
может                                     10           0.0912
вклад                                     10           0.0912
использование                             10           0.0912
дружбы                                    10           0.0912
другой                                    10           0.0912
филологических                            10           0.0912
субъекта                                  10           0.0912
аннотация                                 10           0.0912
путь                                      10           0.0912
социальных                                10           0.0912
профессор                                 10           0.0912
где                                       10           0.0912
сотрудничества                             9            0.082
дис                                        9            0.082
репрезентации                              9            0.082
культуры                                   9            0.082
организации                                9            0.082
научный                                    9            0.082
строительства                              9            0.082
осмысления                                 9            0.082
российский                                 9            0.082
игры                                       9            0.082
лингвистических                            9            0.082
например                                   9            0.082
местоимения                                9            0.082
монографии                                 9            0.082
тульчинский                                9            0.082
который                                    9            0.082
того                                       9            0.082
языковых                                   9            0.082
